ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Solution Link
193,Valid Phone Numbers,https://leetcode.com/problems/valid-phone-numbers,N,26.00%,Easy,9.23742%;,
196,Delete Duplicate Emails,https://leetcode.com/problems/delete-duplicate-emails,N,59.00%,Easy,4.29197%;,
197,Rising Temperature,https://leetcode.com/problems/rising-temperature,N,44.60%,Easy,3.93585%;,
198,House Robber,https://leetcode.com/problems/house-robber,N,48.80%,Medium,33.7973%;,
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,N,61.20%,Medium,24.1406%;,
200,Number of Islands,https://leetcode.com/problems/number-of-islands,N,56.40%,Medium,80.2562%;,
202,Happy Number,https://leetcode.com/problems/happy-number,N,54.40%,Easy,6.49479%;,
203,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements,N,44.90%,Easy,0.857125%;,
204,Count Primes,https://leetcode.com/problems/count-primes,N,33.10%,Medium,4.23389%;,
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,N,42.60%,Easy,4.7513%;,
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,N,72.50%,Easy,7.12827%;,
207,Course Schedule,https://leetcode.com/problems/course-schedule,N,45.40%,Medium,55.8441%;,
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,N,61.00%,Medium,15.1699%;,
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,N,44.50%,Medium,1.13415%;,
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,N,48.00%,Medium,47.5932%;,
211,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,N,43.00%,Medium,14.8327%;,
212,Word Search II,https://leetcode.com/problems/word-search-ii,N,36.90%,Hard,42.8948%;,
213,House Robber II,https://leetcode.com/problems/house-robber-ii,N,40.70%,Medium,2.81862%;,
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,N,65.80%,Medium,29.2225%;,
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,N,61.30%,Easy,15.6385%;,
218,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,N,41.60%,Hard,6.16011%;,
219,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii,N,42.30%,Easy,11.8172%;,
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii,N,22.00%,Hard,5.74849%;,
221,Maximal Square,https://leetcode.com/problems/maximal-square,N,44.60%,Medium,15.1382%;,
222,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes,N,59.70%,Medium,3.71078%;,
224,Basic Calculator,https://leetcode.com/problems/basic-calculator,N,41.20%,Hard,32.2893%;,
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,N,73.30%,Easy,8.37921%;,
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,N,42.20%,Medium,46.3177%;,
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,N,69.40%,Medium,5.62457%;,
231,Power of Two,https://leetcode.com/problems/power-of-two,N,45.70%,Easy,2.07361%;,
232,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks,N,61.30%,Easy,8.74861%;,
234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,N,49.60%,Easy,14.3147%;,
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,N,60.30%,Medium,7.82009%;,
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,N,58.10%,Medium,43.3451%;,
237,Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list,N,75.30%,Medium,11.2657%;,
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,N,64.70%,Medium,22.7322%;,
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,N,46.60%,Hard,55.9204%;,
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii,N,50.60%,Medium,13.215%;,
242,Valid Anagram,https://leetcode.com/problems/valid-anagram,N,62.80%,Easy,22.6983%;,
243,Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance,Y,64.90%,Easy,25.7592%;,
244,Shortest Word Distance II,https://leetcode.com/problems/shortest-word-distance-ii,Y,60.70%,Medium,12.2646%;,
249,Group Shifted Strings,https://leetcode.com/problems/group-shifted-strings,Y,64.30%,Medium,35.1903%;,
252,Meeting Rooms,https://leetcode.com/problems/meeting-rooms,Y,57.10%,Easy,2.93943%;,
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii,Y,50.50%,Medium,66.3116%;,
256,Paint House,https://leetcode.com/problems/paint-house,Y,60.70%,Medium,13.3308%;,
257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,N,60.70%,Easy,4.8577%;,
258,Add Digits,https://leetcode.com/problems/add-digits,N,63.50%,Easy,3.82938%;,
261,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree,Y,46.90%,Medium,3.41778%;,
262,Trips and Users,https://leetcode.com/problems/trips-and-users,N,38.40%,Hard,5.94712%;,
265,Paint House II,https://leetcode.com/problems/paint-house-ii,Y,52.40%,Hard,10.2126%;,
268,Missing Number,https://leetcode.com/problems/missing-number,N,61.70%,Easy,12.2701%;,
269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary,Y,35.30%,Hard,20.2765%;,
271,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings,Y,41.70%,Medium,5.70091%;,
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words,N,29.90%,Hard,73.0024%;,
277,Find the Celebrity,https://leetcode.com/problems/find-the-celebrity,Y,46.50%,Medium,31.1313%;,
278,First Bad Version,https://leetcode.com/problems/first-bad-version,N,43.00%,Easy,5.96322%;,
279,Perfect Squares,https://leetcode.com/problems/perfect-squares,N,52.10%,Medium,16.4719%;,
283,Move Zeroes,https://leetcode.com/problems/move-zeroes,N,61.40%,Easy,3.58278%;,
286,Walls and Gates,https://leetcode.com/problems/walls-and-gates,Y,60.30%,Medium,27.6211%;,
287,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number,N,59.10%,Medium,22.7339%;,
289,Game of Life,https://leetcode.com/problems/game-of-life,N,66.80%,Medium,27.4639%;,
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,N,51.50%,Hard,51.8142%;,
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,N,55.00%,Hard,44.9716%;,
299,Bulls and Cows,https://leetcode.com/problems/bulls-and-cows,N,48.70%,Medium,13.4028%;,
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,N,51.60%,Medium,7.8055%;,
301,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses,N,47.10%,Hard,8.33243%;,
304,Range Sum Query 2D - Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable,N,52.20%,Medium,17.6429%;,
305,Number of Islands II,https://leetcode.com/problems/number-of-islands-ii,Y,39.40%,Hard,14.7215%;,
307,Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable,N,40.70%,Medium,6.33026%;,
309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,N,54.60%,Medium,2.91471%;,
310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,N,38.50%,Medium,3.63291%;,
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Y,52.10%,Medium,13.3308%;,
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,N,42.80%,Hard,7.87321%;,
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters,N,44.60%,Medium,12.4362%;,
318,Maximum Product of Word Lengths,https://leetcode.com/problems/maximum-product-of-word-lengths,N,60.10%,Medium,16.843%;,
322,Coin Change,https://leetcode.com/problems/coin-change,N,41.60%,Medium,33.9647%;,
323,Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,Y,62.10%,Medium,10.8714%;,
324,Wiggle Sort II,https://leetcode.com/problems/wiggle-sort-ii,N,33.00%,Medium,13.6992%;,
328,Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list,N,60.30%,Medium,9.06481%;,
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,N,52.20%,Hard,21.0655%;,
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,N,41.00%,Hard,5.10941%;,
333,Largest BST Subtree,https://leetcode.com/problems/largest-bst-subtree,Y,42.50%,Medium,15.0606%;,
336,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs,N,35.20%,Hard,11.2349%;,
337,House Robber III,https://leetcode.com/problems/house-robber-iii,N,53.90%,Medium,30.4706%;,
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum,Y,82.20%,Medium,14.6484%;,
340,Longest Substring with At Most K Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Y,47.80%,Medium,29.4431%;,
342,Power of Four,https://leetcode.com/problems/power-of-four,N,45.70%,Easy,1.98784%;,
344,Reverse String,https://leetcode.com/problems/reverse-string,N,76.20%,Easy,2.67007%;,
346,Moving Average from Data Stream,https://leetcode.com/problems/moving-average-from-data-stream,Y,77.10%,Easy,12.5469%;,
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,N,64.80%,Medium,36.1359%;,
348,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe,Y,57.60%,Medium,50.7365%;,
349,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays,N,70.30%,Easy,6.80981%;,
350,Intersection of Two Arrays II,https://leetcode.com/problems/intersection-of-two-arrays-ii,N,55.60%,Easy,2.94567%;,
353,Design Snake Game,https://leetcode.com/problems/design-snake-game,Y,39.10%,Medium,11.0501%;,
354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,N,38.30%,Hard,14.9743%;,
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter,Y,68.40%,Medium,22.9524%;,
363,Max Sum of Rectangle No Larger Than K,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,N,44.10%,Hard,25.9837%;,
